Time intervals,d,"(options: h-hours, d-days, w-weeks, m-months)",,
Time,Atlanta,Knoxville,Charlotte,Birmingham
1,0,0,0,0
2,9530731.411,6069373.55,8771406.474,4685355.209
3,9530731.411,6069373.55,8771406.474,4685355.209
4,9530731.411,6069373.55,8771406.474,4685355.209
5,9530731.411,6069373.55,8771406.474,4685355.209
6,9530731.411,6069373.55,8771406.474,4685355.209
7,9530731.411,6069373.55,8771406.474,4685355.209
8,9530731.411,6069373.55,8771406.474,4685355.209
9,9530731.411,6069373.55,8771406.474,4685355.209
10,9530731.411,6069373.55,8771406.474,4685355.209
11,9530731.411,6069373.55,8771406.474,4685355.209
12,9530731.411,6069373.55,8771406.474,4685355.209
13,9530731.411,6069373.55,8771406.474,4685355.209
14,9530731.411,6069373.55,8771406.474,4685355.209
15,9530731.411,6069373.55,8771406.474,4685355.209
16,9530731.411,6069373.55,8771406.474,4685355.209
17,9530731.411,6069373.55,8771406.474,4685355.209
18,9530731.411,6069373.55,8771406.474,4685355.209
19,9530731.411,6069373.55,8771406.474,4685355.209
20,9530731.411,6069373.55,8771406.474,4685355.209
21,9530731.411,6069373.55,8771406.474,4685355.209
22,9530731.411,6069373.55,8771406.474,4685355.209
23,9530731.411,6069373.55,8771406.474,4685355.209
24,9530731.411,6069373.55,8771406.474,4685355.209
25,9530731.411,6069373.55,8771406.474,4685355.209
26,9530731.411,6069373.55,8771406.474,4685355.209
27,9530731.411,6069373.55,8771406.474,4685355.209
28,9530731.411,6069373.55,8771406.474,4685355.209
29,9530731.411,6069373.55,8771406.474,4685355.209
30,9530731.411,6069373.55,8771406.474,4685355.209
31,9530731.411,6069373.55,8771406.474,4685355.209
32,9530731.411,6069373.55,8771406.474,4685355.209
33,9530731.411,6069373.55,8771406.474,4685355.209
34,9530731.411,6069373.55,8771406.474,4685355.209
35,9530731.411,6069373.55,8771406.474,4685355.209
36,9530731.411,6069373.55,8771406.474,4685355.209
37,9530731.411,6069373.55,8771406.474,4685355.209
38,9530731.411,6069373.55,8771406.474,4685355.209
39,9530731.411,6069373.55,8771406.474,4685355.209
40,9530731.411,6069373.55,8771406.474,4685355.209
41,9530731.411,6069373.55,8771406.474,4685355.209
42,9530731.411,6069373.55,8771406.474,4685355.209
43,9530731.411,6069373.55,8771406.474,4685355.209
44,9530731.411,6069373.55,8771406.474,4685355.209
45,9530731.411,6069373.55,8771406.474,4685355.209
46,9530731.411,6069373.55,8771406.474,4685355.209
47,9530731.411,6069373.55,8771406.474,4685355.209
48,9530731.411,6069373.55,8771406.474,4685355.209
49,9530731.411,6069373.55,8771406.474,4685355.209
50,9530731.411,6069373.55,8771406.474,4685355.209
51,9530731.411,6069373.55,8771406.474,4685355.209
52,9530731.411,6069373.55,8771406.474,4685355.209
53,9530731.411,6069373.55,8771406.474,4685355.209
54,9530731.411,6069373.55,8771406.474,4685355.209
55,9530731.411,6069373.55,8771406.474,4685355.209
56,9530731.411,6069373.55,8771406.474,4685355.209
57,9530731.411,6069373.55,8771406.474,4685355.209
58,9530731.411,6069373.55,8771406.474,4685355.209
59,9530731.411,6069373.55,8771406.474,4685355.209
60,9530731.411,6069373.55,8771406.474,4685355.209
61,9530731.411,6069373.55,8771406.474,4685355.209
62,9530731.411,6069373.55,8771406.474,4685355.209
63,9530731.411,6069373.55,8771406.474,4685355.209
64,9530731.411,6069373.55,8771406.474,4685355.209
65,9530731.411,6069373.55,8771406.474,4685355.209
66,9530731.411,6069373.55,8771406.474,4685355.209
67,9530731.411,6069373.55,8771406.474,4685355.209
68,9530731.411,6069373.55,8771406.474,4685355.209
69,9530731.411,6069373.55,8771406.474,4685355.209
70,9530731.411,6069373.55,8771406.474,4685355.209
71,9530731.411,6069373.55,8771406.474,4685355.209
72,9530731.411,6069373.55,8771406.474,4685355.209
73,9530731.411,6069373.55,8771406.474,4685355.209
74,9530731.411,6069373.55,8771406.474,4685355.209
75,9530731.411,6069373.55,8771406.474,4685355.209
76,9530731.411,6069373.55,8771406.474,4685355.209
77,9530731.411,6069373.55,8771406.474,4685355.209
78,9530731.411,6069373.55,8771406.474,4685355.209
79,9530731.411,6069373.55,8771406.474,4685355.209
80,9530731.411,6069373.55,8771406.474,4685355.209
81,9530731.411,6069373.55,8771406.474,4685355.209
82,9530731.411,6069373.55,8771406.474,4685355.209
83,9530731.411,6069373.55,8771406.474,4685355.209
84,9530731.411,6069373.55,8771406.474,4685355.209
85,9530731.411,6069373.55,8771406.474,4685355.209
86,9530731.411,6069373.55,8771406.474,4685355.209
87,9530731.411,6069373.55,8771406.474,4685355.209
88,9530731.411,6069373.55,8771406.474,4685355.209
89,9530731.411,6069373.55,8771406.474,4685355.209
90,9530731.411,6069373.55,8771406.474,4685355.209
91,9530731.411,6069373.55,8771406.474,4685355.209
92,9530731.411,6069373.55,8771406.474,4685355.209
93,9530731.411,6069373.55,8771406.474,4685355.209
94,9530731.411,6069373.55,8771406.474,4685355.209
95,9530731.411,6069373.55,8771406.474,4685355.209
96,9530731.411,6069373.55,8771406.474,4685355.209
97,9530731.411,6069373.55,8771406.474,4685355.209
98,9530731.411,6069373.55,8771406.474,4685355.209
99,9530731.411,6069373.55,8771406.474,4685355.209
100,9530731.411,6069373.55,8771406.474,4685355.209
101,9530731.411,6069373.55,8771406.474,4685355.209
102,9530731.411,6069373.55,8771406.474,4685355.209
103,9530731.411,6069373.55,8771406.474,4685355.209
104,9530731.411,6069373.55,8771406.474,4685355.209
105,9530731.411,6069373.55,8771406.474,4685355.209
106,9530731.411,6069373.55,8771406.474,4685355.209
107,9530731.411,6069373.55,8771406.474,4685355.209
108,9530731.411,6069373.55,8771406.474,4685355.209
109,9530731.411,6069373.55,8771406.474,4685355.209
110,9530731.411,6069373.55,8771406.474,4685355.209
111,9530731.411,6069373.55,8771406.474,4685355.209
112,9530731.411,6069373.55,8771406.474,4685355.209
113,9530731.411,6069373.55,8771406.474,4685355.209
114,9530731.411,6069373.55,8771406.474,4685355.209
115,9530731.411,6069373.55,8771406.474,4685355.209
116,9530731.411,6069373.55,8771406.474,4685355.209
117,9530731.411,6069373.55,8771406.474,4685355.209
118,9530731.411,6069373.55,8771406.474,4685355.209
119,9530731.411,6069373.55,8771406.474,4685355.209
120,9530731.411,6069373.55,8771406.474,4685355.209
121,9530731.411,6069373.55,8771406.474,4685355.209
122,9530731.411,6069373.55,8771406.474,4685355.209
123,9530731.411,6069373.55,8771406.474,4685355.209
124,9530731.411,6069373.55,8771406.474,4685355.209
125,9530731.411,6069373.55,8771406.474,4685355.209
126,9530731.411,6069373.55,8771406.474,4685355.209
127,9530731.411,6069373.55,8771406.474,4685355.209
128,9530731.411,6069373.55,8771406.474,4685355.209
